market, format, heavy, medium, light
market_sydney,planning_format_roadside_b_b_25sqm_,10,6,4
market_sydney,planning_format_roadside_b_b_25sqm,80,65,30
market_sydney,planning_format_roadside_street_bus_tram_kiosk_fsu,600,450,300
market_sydney,planning_format_roadside_street_phone_booth,260,200,140
market_sydney,planning_format_roadside_transit_external,360,280,200
market_sydney,planning_format_transport_rail_cross_track,50,25,15
market_sydney,planning_format_transport_bus_rail_platform_concourse,110,80,50
market_sydney,planning_format_transport_airport_internal,10,8,5
market_sydney,planning_format_transport_airport_precinct,9,5,2
market_sydney,planning_format_transport_transit_internal,1200,950,700
market_sydney,planning_format_retail_retail_internal,100,80,60
market_melbourne,planning_format_roadside_b_b_25sqm_,12,8,6
market_melbourne,planning_format_roadside_b_b_25sqm,70,50,25
market_melbourne,planning_format_roadside_street_bus_tram_kiosk_fsu,500,375,250
market_melbourne,planning_format_roadside_street_phone_booth,200,140,90
market_melbourne,planning_format_roadside_transit_external,250,190,140
market_melbourne,planning_format_transport_rail_cross_track,25,15,5
market_melbourne,planning_format_transport_bus_rail_platform_concourse,80,60,40
market_melbourne,planning_format_transport_airport_internal,10,7,5
market_melbourne,planning_format_transport_airport_precinct,6,4,2
market_melbourne,planning_format_transport_transit_internal,840,650,490
market_melbourne,planning_format_retail_retail_internal,80,60,50
market_brisbane,planning_format_roadside_b_b_25sqm_,6,4,3
market_brisbane,planning_format_roadside_b_b_25sqm,30,20,10
market_brisbane,planning_format_roadside_street_bus_tram_kiosk_fsu,300,225,150
market_brisbane,planning_format_roadside_street_phone_booth,170,110,80
market_brisbane,planning_format_roadside_transit_external,130,100,70
market_brisbane,planning_format_transport_rail_cross_track,30,20,10
market_brisbane,planning_format_transport_bus_rail_platform_concourse,60,50,40
market_brisbane,planning_format_transport_airport_internal,9,7,4
market_brisbane,planning_format_transport_airport_precinct,4,3,1
market_brisbane,planning_format_transport_transit_internal,420,370,240
market_brisbane,planning_format_retail_retail_internal,60,45,35
market_adelaide,planning_format_roadside_b_b_25sqm_,5,3,2
market_adelaide,planning_format_roadside_b_b_25sqm,20,15,5
market_adelaide,planning_format_roadside_street_bus_tram_kiosk_fsu,150,110,75
market_adelaide,planning_format_roadside_street_phone_booth,55,40,30
market_adelaide,planning_format_roadside_transit_external,70,55,40
market_adelaide,planning_format_transport_rail_cross_track,0,0,0
market_adelaide,planning_format_transport_bus_rail_platform_concourse,0,0,0
market_adelaide,planning_format_transport_airport_internal,4,3,2
market_adelaide,planning_format_transport_airport_precinct,4,3,1
market_adelaide,planning_format_transport_transit_internal,300,240,180
market_adelaide,planning_format_retail_retail_internal,40,30,20
market_perth,planning_format_roadside_b_b_25sqm_,6,4,3
market_perth,planning_format_roadside_b_b_25sqm,25,15,10
market_perth,planning_format_roadside_street_bus_tram_kiosk_fsu,160,120,80
market_perth,planning_format_roadside_street_phone_booth,60,45,35
market_perth,planning_format_roadside_transit_external,90,70,50
market_perth,planning_format_transport_rail_cross_track,0,0,0
market_perth,planning_format_transport_bus_rail_platform_concourse,35,25,15
market_perth,planning_format_transport_airport_internal,7,5,4
market_perth,planning_format_transport_airport_precinct,5,3,2
market_perth,planning_format_transport_transit_internal,240,190,140
market_perth,planning_format_retail_retail_internal,40,30,20
